
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.728
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.540
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-5.4176662422 	1.3278286616 	0.3053395004 	0.3053395176 	0.3053395608
	-5.3925574617 	1.4823956875 	0.3408828096 	0.3408828264 	0.3408828655
	-5.3674486812 	1.6270122224 	0.3741379644 	0.3741379804 	0.3741380132
	-5.3423399006 	1.7555857880 	0.4037039753 	0.4037039898 	0.4037040143
	-5.3172311201 	1.8623352599 	0.4282514491 	0.4282514616 	0.4282514762
	-5.2921223396 	1.9422192035 	0.4466210878 	0.4466210978 	0.4466211010
	-5.2670135591 	1.9913297875 	0.4579142695 	0.4579142767 	0.4579142677
	-5.2419047786 	2.0072095059 	0.4615658807 	0.4615658848 	0.4615658633
	-5.2167959981 	1.9890549830 	0.4573911814 	0.4573911824 	0.4573911488
	-5.1916872175 	1.9377843323 	0.4456012954 	0.4456012933 	0.4456012487
	-5.1665784370 	1.8559602068 	0.4267855146 	0.4267855097 	0.4267854555
	-5.1414696565 	1.7475775181 	0.4018624848 	0.4018624775 	0.4018624157
	-5.1163608760 	1.6177403064 	0.3720059004 	0.3720058911 	0.3720058239
	-5.0912520955 	1.4722641322 	0.3385530726 	0.3385530619 	0.3385529916
	-5.0661433150 	1.3172470233 	0.3029062676 	0.3029062559 	0.3029061849
	-5.0410345345 	1.1586527276 	0.2664368730 	0.2664368609 	0.2664367913
	-5.0159257539 	1.0019450853 	0.2304013210 	0.2304013090 	0.2304012426
	-4.9908169734 	0.8518029087 	0.1958755235 	0.1958755119 	0.1958754502
	-4.9657081929 	0.7119326107 	0.1637117850 	0.1637117743 	0.1637117183
	-4.9405994124 	0.5849829699 	0.1345192031 	0.1345191934 	0.1345191438
	-4.9154906319 	0.4725547444 	0.1086658788 	0.1086658702 	0.1086658273
	-4.8903818514 	0.3752887978 	0.0862991813 	0.0862991739 	0.0862991375
	-4.8652730708 	0.2930108099 	0.0673790252 	0.0673790189 	0.0673789887
	-4.8401642903 	0.2249086988 	0.0517186690 	0.0517186638 	0.0517186392
	-4.8150555098 	0.1697201597 	0.0390278407 	0.0390278366 	0.0390278170
	-4.7899467293 	0.1259114365 	0.0289538471 	0.0289538438 	0.0289538285
	-4.7648379488 	0.0918335756 	0.0211175046 	0.0211175021 	0.0211174904
	-4.7397291683 	0.0658479681 	0.0151420086 	0.0151420067 	0.0151419978
	-4.7146203878 	0.0464181503 	0.0106740430 	0.0106740415 	0.0106740350
	-4.6895116072 	0.0321690216 	0.0073973978 	0.0073973968 	0.0073973920
	-4.6644028267 	0.0219175720 	0.0050400352 	0.0050400344 	0.0050400311
	-4.6392940462 	0.0146808634 	0.0033759246 	0.0033759240 	0.0033759217
	-4.6141852657 	0.0096675255 	0.0022230870 	0.0022230867 	0.0022230851
	-4.5890764852 	0.0062586926 	0.0014392120 	0.0014392117 	0.0014392107
	-4.5639677047 	0.0039834235 	0.0009160046 	0.0009160044 	0.0009160037
	-4.5388589241 	0.0024924928 	0.0005731589 	0.0005731588 	0.0005731584
	-4.5137501436 	0.0015332604 	0.0003525795 	0.0003525795 	0.0003525792
	-4.4886413631 	0.0009272620 	0.0002132277 	0.0002132277 	0.0002132275
	-4.4635325826 	0.0005513071 	0.0001267753 	0.0001267753 	0.0001267752
	-4.4384238021 	0.0003222473 	0.0000741021 	0.0000741021 	0.0000741020
	-4.4133150216 	0.0001851781 	0.0000425825 	0.0000425825 	0.0000425824
	-4.3882062411 	0.0001046151 	0.0000240567 	0.0000240567 	0.0000240566
	-4.3630974605 	0.0000581037 	0.0000133612 	0.0000133612 	0.0000133612
	-4.3379886800 	0.0000317262 	0.0000072956 	0.0000072956 	0.0000072956
	-4.3128798995 	0.0000170309 	0.0000039163 	0.0000039163 	0.0000039163
	-4.2877711190 	0.0000089879 	0.0000020668 	0.0000020668 	0.0000020668
	-4.2626623385 	0.0000046632 	0.0000010723 	0.0000010723 	0.0000010723
	-4.2375535580 	0.0000023786 	0.0000005470 	0.0000005470 	0.0000005470
	-4.2124447775 	0.0000011928 	0.0000002743 	0.0000002743 	0.0000002743
	-4.1873359969 	0.0000005880 	0.0000001352 	0.0000001352 	0.0000001352
	-4.1622272164 	0.0000002850 	0.0000000655 	0.0000000655 	0.0000000655
	-4.1371184359 	0.0000001358 	0.0000000312 	0.0000000312 	0.0000000312
	-4.1120096554 	0.0000000636 	0.0000000146 	0.0000000146 	0.0000000146
	-4.0869008749 	0.0000000293 	0.0000000067 	0.0000000067 	0.0000000067
	-4.0617920944 	0.0000000133 	0.0000000031 	0.0000000031 	0.0000000031
	-4.0366833138 	0.0000000059 	0.0000000014 	0.0000000014 	0.0000000014
	-4.0115745333 	0.0000000026 	0.0000000006 	0.0000000006 	0.0000000006
	-3.9864657528 	0.0000000011 	0.0000000003 	0.0000000003 	0.0000000003
	-3.9613569723 	0.0000000005 	0.0000000001 	0.0000000001 	0.0000000001
	-3.9362481918 	0.0000000002 	0.0000000001 	0.0000000001 	0.0000000001
	-3.9111394113 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-3.8860306308 	0.0000000001 	0.0000000001 	0.0000000001 	0.0000000001
	-3.8609218502 	0.0000000002 	0.0000000001 	0.0000000001 	0.0000000001
	-3.8358130697 	0.0000000004 	0.0000000003 	0.0000000003 	0.0000000003
	-3.8107042892 	0.0000000009 	0.0000000007 	0.0000000007 	0.0000000007
	-3.7855955087 	0.0000000022 	0.0000000016 	0.0000000016 	0.0000000016
	-3.7604867282 	0.0000000049 	0.0000000035 	0.0000000035 	0.0000000035
	-3.7353779477 	0.0000000109 	0.0000000078 	0.0000000078 	0.0000000078
	-3.7102691671 	0.0000000237 	0.0000000171 	0.0000000171 	0.0000000171
	-3.6851603866 	0.0000000508 	0.0000000365 	0.0000000365 	0.0000000365
	-3.6600516061 	0.0000001069 	0.0000000770 	0.0000000770 	0.0000000770
	-3.6349428256 	0.0000002214 	0.0000001594 	0.0000001594 	0.0000001594
	-3.6098340451 	0.0000004508 	0.0000003245 	0.0000003245 	0.0000003245
	-3.5847252646 	0.0000009024 	0.0000006496 	0.0000006496 	0.0000006496
	-3.5596164841 	0.0000017758 	0.0000012782 	0.0000012782 	0.0000012782
	-3.5345077035 	0.0000034354 	0.0000024729 	0.0000024729 	0.0000024729
	-3.5093989230 	0.0000065339 	0.0000047033 	0.0000047033 	0.0000047033
	-3.4842901425 	0.0000122173 	0.0000087944 	0.0000087944 	0.0000087944
	-3.4591813620 	0.0000224585 	0.0000161663 	0.0000161663 	0.0000161663
	-3.4340725815 	0.0000405875 	0.0000292161 	0.0000292161 	0.0000292161
	-3.4089638010 	0.0000721122 	0.0000519085 	0.0000519085 	0.0000519085
	-3.3838550204 	0.0001259590 	0.0000906691 	0.0000906691 	0.0000906690
	-3.3587462399 	0.0002162989 	0.0001556984 	0.0001556984 	0.0001556984
	-3.3336374594 	0.0003651606 	0.0002628535 	0.0002628535 	0.0002628535
	-3.3085286789 	0.0006060634 	0.0004362625 	0.0004362625 	0.0004362625
	-3.2834198984 	0.0009889101 	0.0007118470 	0.0007118470 	0.0007118470
	-3.2583111179 	0.0015863540 	0.0011419050 	0.0011419050 	0.0011419049
