
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.673
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-6.4263810894 	0.0054858825 	0.0016182414 	0.0016182409 	0.0016182412
	-6.4013287905 	0.0037026490 	0.0010922174 	0.0010922171 	0.0010922173
	-6.3762764917 	0.0024570776 	0.0007247941 	0.0007247939 	0.0007247940
	-6.3512241929 	0.0016031389 	0.0004728946 	0.0004728944 	0.0004728945
	-6.3261718941 	0.0010284612 	0.0003033700 	0.0003033699 	0.0003033700
	-6.3011195953 	0.0006488282 	0.0001913757 	0.0001913756 	0.0001913757
	-6.2760672965 	0.0004027121 	0.0001187575 	0.0001187575 	0.0001187575
	-6.2510149976 	0.0002462797 	0.0000725771 	0.0000725771 	0.0000725771
	-6.2259626988 	0.0001491151 	0.0000438468 	0.0000438468 	0.0000438468
	-6.2009104000 	0.0000907549 	0.0000265019 	0.0000265019 	0.0000265019
	-6.1758581012 	0.0000580385 	0.0000166098 	0.0000166098 	0.0000166098
	-6.1508058024 	0.0000432287 	0.0000117999 	0.0000117999 	0.0000117999
	-6.1257535035 	0.0000428447 	0.0000108937 	0.0000108937 	0.0000108938
	-6.1007012047 	0.0000571728 	0.0000137206 	0.0000137206 	0.0000137206
	-6.0756489059 	0.0000904537 	0.0000211107 	0.0000211106 	0.0000211107
	-6.0505966071 	0.0001518056 	0.0000350736 	0.0000350735 	0.0000350737
	-6.0255443083 	0.0002569969 	0.0000591840 	0.0000591838 	0.0000591841
	-6.0004920095 	0.0004312425 	0.0000992104 	0.0000992102 	0.0000992106
	-5.9754397106 	0.0007132439 	0.0001640358 	0.0001640353 	0.0001640360
	-5.9503874118 	0.0011607134 	0.0002669218 	0.0002669211 	0.0002669222
	-5.9253351130 	0.0018575968 	0.0004271671 	0.0004271661 	0.0004271678
	-5.9002828142 	0.0029231210 	0.0006721857 	0.0006721842 	0.0006721868
	-5.8752305154 	0.0045226133 	0.0010399938 	0.0010399915 	0.0010399954
	-5.8501782166 	0.0068797525 	0.0015820266 	0.0015820231 	0.0015820287
	-5.8251259177 	0.0102895141 	0.0023661142 	0.0023661093 	0.0023661173
	-5.8000736189 	0.0151305596 	0.0034793314 	0.0034793244 	0.0034793357
	-5.7750213201 	0.0218752488 	0.0050302990 	0.0050302891 	0.0050303049
	-5.7499690213 	0.0310948767 	0.0071503885 	0.0071503750 	0.0071503963
	-5.7249167225 	0.0434572748 	0.0099931703 	0.0099931520 	0.0099931804
	-5.6998644236 	0.0597136946 	0.0137313976 	0.0137313735 	0.0137314105
	-5.6748121248 	0.0806720700 	0.0185508580 	0.0185508267 	0.0185508740
	-5.6497598260 	0.1071544623 	0.0246405877 	0.0246405479 	0.0246406072
	-5.6247075272 	0.1399378268 	0.0321792506 	0.0321792008 	0.0321792737
	-5.5996552284 	0.1796791944 	0.0413179336 	0.0413178725 	0.0413179602
	-5.5746029296 	0.2268288344 	0.0521601778 	0.0521601044 	0.0521602075
	-5.5495506307 	0.2815376836 	0.0647406918 	0.0647406052 	0.0647407239
	-5.5244983319 	0.3435679219 	0.0790047879 	0.0790046876 	0.0790048212
	-5.4994460331 	0.4122175575 	0.0947910404 	0.0947909266 	0.0947910733
	-5.4743937343 	0.4862707716 	0.1118198669 	0.1118197405 	0.1118198975
	-5.4493414355 	0.5639851246 	0.1296905867 	0.1296904490 	0.1296906126
	-5.4242891367 	0.6431243237 	0.1478889555 	0.1478888088 	0.1478889742
	-5.3992368378 	0.7210411060 	0.1658062248 	0.1658060718 	0.1658062335
	-5.3741845390 	0.7948092555 	0.1827694998 	0.1827693438 	0.1827694959
	-5.3491322402 	0.8613975064 	0.1980817291 	0.1980815738 	0.1980817102
	-5.3240799414 	0.9178719696 	0.2110682533 	0.2110681025 	0.2110682176
	-5.2990276426 	0.9616087519 	0.2211256980 	0.2211255553 	0.2211256443
	-5.2739753437 	0.9904955075 	0.2277683209 	0.2277681897 	0.2277682487
	-5.2489230449 	1.0031004278 	0.2306668720 	0.2306667551 	0.2306667819
	-5.2238707461 	0.9987898584 	0.2296756401 	0.2296755396 	0.2296755334
	-5.1988184473 	0.9777810926 	0.2248445924 	0.2248445097 	0.2248444714
	-5.1737661485 	0.9411242172 	0.2164152006 	0.2164151360 	0.2164150682
	-5.1487138497 	0.8906151235 	0.2048004370 	0.2048003900 	0.2048002965
