Energy(eV)   DOS_up   DOS_down   DOS_tot
-4.4973540804 0.0008567408 0.0008567381 0.0017134789
-4.4723017816 0.0005129952 0.0005129935 0.0010259887
-4.4472494828 0.0003020056 0.0003020045 0.0006040101
-4.4221971839 0.0001748052 0.0001748046 0.0003496098
-4.3971448851 0.0000994790 0.0000994787 0.0001989577
-4.3720925863 0.0000556604 0.0000556602 0.0001113207
-4.3470402875 0.0000306196 0.0000306195 0.0000612391
-4.3219879887 0.0000165611 0.0000165611 0.0000331222
-4.2969356899 0.0000088068 0.0000088068 0.0000176136
-4.2718833910 0.0000046045 0.0000046045 0.0000092090
-4.2468310922 0.0000023669 0.0000023669 0.0000047339
-4.2217787934 0.0000011963 0.0000011963 0.0000023925
-4.1967264946 0.0000005944 0.0000005944 0.0000011889
-4.1716741958 0.0000002904 0.0000002904 0.0000005808
-4.1466218970 0.0000001395 0.0000001395 0.0000002790
-4.1215695981 0.0000000659 0.0000000659 0.0000001318
-4.0965172993 0.0000000306 0.0000000306 0.0000000612
-4.0714650005 0.0000000140 0.0000000140 0.0000000279
-4.0464127017 0.0000000063 0.0000000063 0.0000000125
-4.0213604029 0.0000000028 0.0000000028 0.0000000055
-3.9963081040 0.0000000012 0.0000000012 0.0000000024
-3.9712558052 0.0000000005 0.0000000005 0.0000000010
-3.9462035064 0.0000000002 0.0000000002 0.0000000005
-3.9211512076 0.0000000001 0.0000000001 0.0000000002
-3.8960989088 0.0000000001 0.0000000001 0.0000000002
-3.8710466100 0.0000000002 0.0000000002 0.0000000005
-3.8459943111 0.0000000005 0.0000000005 0.0000000010
-3.8209420123 0.0000000012 0.0000000012 0.0000000024
-3.7958897135 0.0000000027 0.0000000027 0.0000000055
-3.7708374147 0.0000000062 0.0000000062 0.0000000124
-3.7457851159 0.0000000138 0.0000000138 0.0000000275
-3.7207328171 0.0000000302 0.0000000302 0.0000000603
-3.6956805182 0.0000000650 0.0000000650 0.0000001300
-3.6706282194 0.0000001377 0.0000001377 0.0000002753
-3.6455759206 0.0000002867 0.0000002867 0.0000005734
-3.6205236218 0.0000005870 0.0000005870 0.0000011740
-3.5954713230 0.0000011816 0.0000011816 0.0000023632
-3.5704190241 0.0000023387 0.0000023386 0.0000046773
-3.5453667253 0.0000045509 0.0000045507 0.0000091016
-3.5203144265 0.0000087069 0.0000087065 0.0000174134
-3.4952621277 0.0000163781 0.0000163776 0.0000327557
-3.4702098289 0.0000302904 0.0000302894 0.0000605798
-3.4451575301 0.0000550787 0.0000550768 0.0001101555
-3.4201052312 0.0000984691 0.0000984658 0.0001969349
-3.3950529324 0.0001730828 0.0001730772 0.0003461600
-3.3700006336 0.0002991202 0.0002991108 0.0005982310
-3.3449483348 0.0005082476 0.0005082322 0.0010164798
-3.3198960360 0.0008490686 0.0008490437 0.0016981123
-3.2948437372 0.0013945946 0.0013945551 0.0027891498
-3.2697914383 0.0022521174 0.0022520558 0.0045041732
-3.2447391395 0.0035757887 0.0035756945 0.0071514832
-3.2196868407 0.0055820083 0.0055818668 0.0111638751
-3.1946345419 0.0085673580 0.0085671492 0.0171345072
-3.1695822431 0.0129282921 0.0129279897 0.0258562818
-3.1445299442 0.0191810862 0.0191806564 0.0383617426
-3.1194776454 0.0279796993 0.0279790998 0.0559587991
-3.0944253466 0.0401282933 0.0401274731 0.0802557664
-3.0693730478 0.0565843250 0.0565832240 0.1131675490
-3.0443207490 0.0784475514 0.0784461022 0.1568936536
-3.0192684502 0.1069302169 0.1069283468 0.2138585637
-2.9942161513 0.1433043278 0.1433019625 0.2866062903
-2.9691638525 0.1888234669 0.1888205363 0.3776440032
-2.9441115537 0.2446191379 0.2446155820 0.4892347199
-2.9190592549 0.3115750677 0.3115708450 0.6231459127
-2.8940069561 0.3901869747 0.3901820706 0.7803690452
-2.8689546573 0.4804195143 0.4804139489 0.9608334632
-2.8439023584 0.5815757842 0.5815696192 1.1631454034
-2.8188500596 0.6921971276 0.6921904712 1.3843875989
-2.7937977608 0.8100112924 0.8100043002 1.6200155927
-2.7687454620 0.9319447302 0.9319376025 1.8638823327
-2.7436931632 1.0542097855 1.0542027601 2.1084125456
-2.7186408643 1.1724699809 1.1724633212 2.3449333021
-2.6935885655 1.2820773389 1.2820713183 2.5641486572
-2.6685362667 1.3783658942 1.3783607779 2.7567266721
-2.6434839679 1.4569767313 1.4569727570 2.9139494884
-2.6184316691 1.5141835234 1.5141808831 3.0283644064
-2.5933793703 1.5471849030 1.5471837277 3.0943686307
-2.5683270714 1.5543317730 1.5543321219 3.1086638949
-2.5432747726 1.5352638830 1.5352657385 3.0705296215
-2.5182224738 1.4909399249 1.4909431940 2.9818831189
-2.4931701750 1.4235576473 1.4235621695 2.8471198168
-2.4681178762 1.3363732553 1.3363788157 2.6727520710
-2.4430655773 1.2334407580 1.2334471040 2.4668878620
-2.4180132785 1.1193002936 1.1193071538 2.2386074474
-2.3929609797 0.9986487044 0.9986558079 1.9973045123
-2.3679086809 0.8760253443 0.8760324377 1.7520577820
-2.3428563821 0.7555416352 0.7555484965 1.5110901317
-2.3178040833 0.6406752327 0.6406816814 1.2813569142
-2.2927517844 0.5341402086 0.5341461106 1.0682863193
-2.2676994856 0.4378349348 0.4378402035 0.8756751383
-2.2426471868 0.3528607500 0.3528653434 0.7057260934
-2.2175948880 0.2795980239 0.2796019387 0.5591999626
-2.1925425892 0.2178224533 0.2178257176 0.4356481709
-2.1674902904 0.1668433861 0.1668460506 0.3336894368
-2.1424379915 0.1256472965 0.1256494267 0.2512967233
-2.1173856927 0.0930325884 0.0930342573 0.1860668457
-2.0923333939 0.0677259122 0.0677271937 0.1354531059
-2.0672810951 0.0484743980 0.0484753630 0.0969497610
-2.0422287963 0.0341120476 0.0341127602 0.0682248078
-2.0171764974 0.0236015734 0.0236020897 0.0472036630
-1.9921241986 0.0160550597 0.0160554267 0.0321104865
-1.9670718998 0.0107379332 0.0107381892 0.0214761224
-1.9420196010 0.0070610173 0.0070611926 0.0141222098
-1.9169673022 0.0045651143 0.0045652321 0.0091303463
-1.8919150034 0.0029018425 0.0029019202 0.0058037627
-1.8668627045 0.0018135679 0.0018136183 0.0036271861
-1.8418104057 0.0011143756 0.0011144077 0.0022287833
-1.8167581069 0.0006732358 0.0006732558 0.0013464916
-1.7917058081 0.0003998900 0.0003999023 0.0007997924
-1.7666535093 0.0002335349 0.0002335423 0.0004670772
-1.7416012105 0.0001340914 0.0001340957 0.0002681871
-1.7165489116 0.0000756986 0.0000757011 0.0001513997
-1.6914966128 0.0000420158 0.0000420172 0.0000840330
-1.6664443140 0.0000229284 0.0000229293 0.0000458577
-1.6413920152 0.0000123020 0.0000123024 0.0000246044
-1.6163397164 0.0000064895 0.0000064898 0.0000129793
-1.5912874175 0.0000033658 0.0000033659 0.0000067317
-1.5662351187 0.0000017163 0.0000017164 0.0000034327
-1.5411828199 0.0000008605 0.0000008605 0.0000017210
-1.5161305211 0.0000004242 0.0000004242 0.0000008484
-1.4910782223 0.0000002056 0.0000002056 0.0000004112
-1.4660259235 0.0000000980 0.0000000980 0.0000001959
-1.4409736246 0.0000000459 0.0000000459 0.0000000919
-1.4159213258 0.0000000212 0.0000000212 0.0000000425
-1.3908690270 0.0000000098 0.0000000098 0.0000000196
-1.3658167282 0.0000000048 0.0000000048 0.0000000095
-1.3407644294 0.0000000030 0.0000000030 0.0000000060
