
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.610
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	6.6759711923 	0.0000000000 	0.0158220525 	0.0158213505 	0.0158219358
	6.7010234911 	0.0000000000 	0.0194099452 	0.0194091433 	0.0194098032
	6.7260757899 	0.0000000000 	0.0234111960 	0.0234103003 	0.0234110261
	6.7511280887 	0.0000000000 	0.0277626357 	0.0277616583 	0.0277624360
	6.7761803876 	0.0000000001 	0.0323694702 	0.0323684296 	0.0323692394
	6.8012326864 	0.0000000002 	0.0371063547 	0.0371052752 	0.0371060925
	6.8262849852 	0.0000000004 	0.0418214223 	0.0418203334 	0.0418211293
	6.8513372840 	0.0000000008 	0.0463433168 	0.0463422517 	0.0463429950
	6.8763895828 	0.0000000017 	0.0504909148 	0.0504899086 	0.0504905673
	6.9014418816 	0.0000000035 	0.0540850439 	0.0540841313 	0.0540846750
	6.9264941805 	0.0000000071 	0.0569611792 	0.0569603921 	0.0569607942
	6.9515464793 	0.0000000141 	0.0589818820 	0.0589812472 	0.0589814870
	6.9765987781 	0.0000000277 	0.0600476772 	0.0600472144 	0.0600472788
	7.0016510769 	0.0000000534 	0.0601051729 	0.0601048932 	0.0601047778
	7.0267033757 	0.0000001013 	0.0591515011 	0.0591514066 	0.0591511161
	7.0517556745 	0.0000001888 	0.0572345690 	0.0572346524 	0.0572341999
	7.0768079734 	0.0000003461 	0.0544490923 	0.0544493380 	0.0544487446
	7.1018602722 	0.0000006236 	0.0509288772 	0.0509292626 	0.0509285551
	7.1269125710 	0.0000011049 	0.0468362335 	0.0468367310 	0.0468359402
	7.1519648698 	0.0000019246 	0.0423497005 	0.0423502796 	0.0423494380
	7.1770171686 	0.0000032960 	0.0376513907 	0.0376520205 	0.0376511597
	7.2020694675 	0.0000055498 	0.0329152140 	0.0329158650 	0.0329150143
	7.2271217663 	0.0000091878 	0.0282970391 	0.0282976849 	0.0282968693
	7.2521740651 	0.0000149548 	0.0239275350 	0.0239281535 	0.0239273932
	7.2772263639 	0.0000239325 	0.0199080608 	0.0199086352 	0.0199079445
	7.3022786627 	0.0000376559 	0.0163095959 	0.0163101145 	0.0163095024
	7.3273309615 	0.0000582528 	0.0131743803 	0.0131748364 	0.0131743066
	7.3523832604 	0.0000886007 	0.0105196924 	0.0105200838 	0.0105196358
	7.3774355592 	0.0001324938 	0.0083430580 	0.0083433859 	0.0083430159
	7.4024878580 	0.0001948014 	0.0066281430 	0.0066284116 	0.0066281131
	7.4275401568 	0.0002815958 	0.0053506333 	0.0053508482 	0.0053506137
	7.4525924556 	0.0004002193 	0.0044835113 	0.0044836795 	0.0044835006
	7.4776447545 	0.0005592522 	0.0040012830 	0.0040014116 	0.0040012802
	7.5026970533 	0.0007683432 	0.0038828618 	0.0038829577 	0.0038828662
	7.5277493521 	0.0010378642 	0.0041129659 	0.0041130352 	0.0041129773
	7.5528016509 	0.0013783632 	0.0046820222 	0.0046820704 	0.0046820405
	7.5778539497 	0.0017998014 	0.0055846887 	0.0055847203 	0.0055847142
	7.6029062485 	0.0023105923 	0.0068172144 	0.0068172330 	0.0068172473
	7.6279585474 	0.0029164856 	0.0083739481 	0.0083739565 	0.0083739888
	7.6530108462 	0.0036193799 	0.0102433895 	0.0102433897 	0.0102434383
	7.6780631450 	0.0044161753 	0.0124042374 	0.0124042309 	0.0124042944
	7.7031154438 	0.0052978084 	0.0148219262 	0.0148219140 	0.0148219912
	7.7281677426 	0.0062486182 	0.0174461394 	0.0174461223 	0.0174462119
	7.7532200414 	0.0072461870 	0.0202097354 	0.0202097137 	0.0202098145
	7.7782723403 	0.0082617660 	0.0230294105 	0.0230293848 	0.0230294951
	7.8033246391 	0.0092613450 	0.0258082630 	0.0258082335 	0.0258083515
	7.8283769379 	0.0102073511 	0.0284402083 	0.0284401754 	0.0284402989
	7.8534292367 	0.0110608853 	0.0308159728 	0.0308159369 	0.0308160632
	7.8784815355 	0.0117843221 	0.0328301673 	0.0328301290 	0.0328302556
	7.9035338344 	0.0123440384 	0.0343887726 	0.0343887323 	0.0343888565
	7.9285861332 	0.0127129987 	0.0354162592 	0.0354162177 	0.0354163369
	7.9536384320 	0.0128729200 	0.0358615670 	0.0358615249 	0.0358616368
	7.9786907308 	0.0128157772 	0.0357022639 	0.0357022219 	0.0357023245
	8.0037430296 	0.0125444769 	0.0349464007 	0.0349463596 	0.0349464513
	8.0287953284 	0.0120726232 	0.0336318447 	0.0336318052 	0.0336318852
	8.0538476273 	0.0114234051 	0.0318231696 	0.0318231322 	0.0318232000
	8.0788999261 	0.0106277361 	0.0296064658 	0.0296064310 	0.0296064868
	8.1039522249 	0.0097218623 	0.0270826679 	0.0270826362 	0.0270826805
	8.1290045237 	0.0087447043 	0.0243601425 	0.0243601140 	0.0243601480
	8.1540568225 	0.0077352171 	0.0215473220 	0.0215472970 	0.0215473218
	8.1791091213 	0.0067300312 	0.0187461162 	0.0187460947 	0.0187461118
	8.2041614202 	0.0057615818 	0.0160466835 	0.0160466654 	0.0160466764
	8.2292137190 	0.0048568668 	0.0135239420 	0.0135239275 	0.0135239338
	8.2542660178 	0.0040368844 	0.0112359721 	0.0112359611 	0.0112359642
	8.2793183166 	0.0033167259 	0.0092242358 	0.0092242282 	0.0092242295
	8.3043706154 	0.0027062307 	0.0075153558 	0.0075153520 	0.0075153528
	8.3294229143 	0.0022110596 	0.0061240593 	0.0061240595 	0.0061240608
	8.3544752131 	0.0018340158 	0.0050568126 	0.0050568175 	0.0050568205
	8.3795275119 	0.0015764348 	0.0043156572 	0.0043156677 	0.0043156734
	8.4045798107 	0.0014394717 	0.0039017774 	0.0039017948 	0.0039018042
	8.4296321095 	0.0014251342 	0.0038183946 	0.0038184205 	0.0038184347
	8.4546844083 	0.0015369430 	0.0040726637 	0.0040727004 	0.0040727204
	8.4797367072 	0.0017801313 	0.0046763499 	0.0046764000 	0.0046764271
	8.5047890060 	0.0021613379 	0.0056451696 	0.0056452361 	0.0056452713
	8.5298413048 	0.0026877926 	0.0069968022 	0.0069968886 	0.0069969331
	8.5548936036 	0.0033660386 	0.0087477077 	0.0087478177 	0.0087478725
	8.5799459024 	0.0042002880 	0.0109090166 	0.0109091541 	0.0109092198
	8.6049982012 	0.0051905589 	0.0134818958 	0.0134820645 	0.0134821416
	8.6300505001 	0.0063307862 	0.0164529102 	0.0164531136 	0.0164532020
	8.6551027989 	0.0076071352 	0.0197899880 	0.0197902288 	0.0197903277
	8.6801550977 	0.0089967603 	0.0234396275 	0.0234399076 	0.0234400157
	8.7052073965 	0.0104672396 	0.0273259430 	0.0273262629 	0.0273263779
	8.7302596953 	0.0119768716 	0.0313520142 	0.0313523728 	0.0313524920
	8.7553119942 	0.0134759428 	0.0354037865 	0.0354041811 	0.0354043009
	8.7803642930 	0.0149089729 	0.0393564732 	0.0393568989 	0.0393570152
	8.8054165918 	0.0162178227 	0.0430830710 	0.0430835212 	0.0430836295
	8.8304688906 	0.0173454303 	0.0464642638 	0.0464647297 	0.0464648254
	8.8555211894 	0.0182398408 	0.0493987003 	0.0493991716 	0.0493992500
	8.8805734882 	0.0188581271 	0.0518124562 	0.0518129210 	0.0518129780
	8.9056257871 	0.0191697858 	0.0536664566 	0.0536669022 	0.0536669340
	8.9306780859 	0.0191592306 	0.0549607764 	0.0549611895 	0.0549611932
	8.9557303847 	0.0188270996 	0.0557350442 	0.0557354114 	0.0557353850
	8.9807826835 	0.0181902265 	0.0560646191 	0.0560649279 	0.0560648704
	9.0058349823 	0.0172802827 	0.0560527415 	0.0560529803 	0.0560528918
	9.0308872811 	0.0161412528 	0.0558193901 	0.0558195492 	0.0558194306
	9.0559395800 	0.0148260375 	0.0554880496 	0.0554881214 	0.0554879748
	9.0809918788 	0.0133925663 	0.0551719164 	0.0551718957 	0.0551717241
	9.1060441776 	0.0118998372 	0.0549611996 	0.0549610840 	0.0549608911
	9.1310964764 	0.0104042798 	0.0549130854 	0.0549128758 	0.0549126657
	9.1561487752 	0.0089567640 	0.0550456245 	0.0550453244 	0.0550451020
	9.1812010741 	0.0076004717 	0.0553363194 	0.0553359355 	0.0553357058
	9.2062533729 	0.0063697227 	0.0557255971 	0.0557251386 	0.0557249067
	9.2313056717 	0.0052897230 	0.0561247235 	0.0561242020 	0.0561239730
	9.2563579705 	0.0043770977 	0.0564271550 	0.0564265840 	0.0564263626
	9.2814102693 	0.0036409956 	0.0565218875 	0.0565212815 	0.0565210722
	9.3064625681 	0.0030845141 	0.0563071296 	0.0563065039 	0.0563063104
	9.3315148670 	0.0027061903 	0.0557026166 	0.0557019865 	0.0557018119
	9.3565671658 	0.0025013344 	0.0546590932 	0.0546584731 	0.0546583196
	9.3816194646 	0.0024630376 	0.0531638955 	0.0531632987 	0.0531631674
	9.4066717634 	0.0025827563 	0.0512420937 	0.0512415316 	0.0512414230
	9.4317240622 	0.0028504538 	0.0489532370 	0.0489527189 	0.0489526325
	9.4567763610 	0.0032543488 	0.0463842946 	0.0463838274 	0.0463837619
	9.4818286599 	0.0037803899 	0.0436398311 	0.0436394193 	0.0436393729
	9.5068809587 	0.0044116113 	0.0408307441 	0.0408303899 	0.0408303603
	9.5319332575 	0.0051275533 	0.0380629866 	0.0380626899 	0.0380626746
	9.5569855563 	0.0059039250 	0.0354276028 	0.0354273618 	0.0354273581
	9.5820378551 	0.0067126590 	0.0329931514 	0.0329929628 	0.0329929680
	9.6070901540 	0.0075224572 	0.0308012107 	0.0308010699 	0.0308010818
	9.6321424528 	0.0082998599 	0.0288652287 	0.0288651305 	0.0288651469
	9.6571947516 	0.0090107927 	0.0271725522 	0.0271724910 	0.0271725100
	9.6822470504 	0.0096224712 	0.0256890981 	0.0256890679 	0.0256890882
	9.7072993492 	0.0101054828 	0.0243658646 	0.0243658599 	0.0243658804
	9.7323516480 	0.0104358226 	0.0231463424 	0.0231463577 	0.0231463776
	9.7574039469 	0.0105966513 	0.0219738748 	0.0219739052 	0.0219739240
	9.7824562457 	0.0105795654 	0.0207981328 	0.0207981740 	0.0207981913
	9.8075085445 	0.0103852211 	0.0195800701 	0.0195801182 	0.0195801338
	9.8325608433 	0.0100232281 	0.0182949834 	0.0182950350 	0.0182950490
	9.8576131421 	0.0095113190 	0.0169335760 	0.0169336287 	0.0169336410
	9.8826654409 	0.0088738815 	0.0155011746 	0.0155012263 	0.0155012370
	9.9077177398 	0.0081400187 	0.0140154462 	0.0140154952 	0.0140155045
	9.9327700386 	0.0073413443 	0.0125030920 	0.0125031372 	0.0125031452
	9.9578223374 	0.0065097444 	0.0109960459 	0.0109960867 	0.0109960934
	9.9828746362 	0.0056753190 	0.0095276796 	0.0095277155 	0.0095277212
	10.0079269350 	0.0048646828 	0.0081294359 	0.0081294669 	0.0081294716
	10.0329792339 	0.0040997431 	0.0068281900 	0.0068282162 	0.0068282202
	10.0580315327 	0.0033970083 	0.0056445000 	0.0056445217 	0.0056445250
	10.0830838315 	0.0027674156 	0.0045917750 	0.0045917925 	0.0045917953
	10.1081361303 	0.0022166135 	0.0036762791 	0.0036762929 	0.0036762953
	10.1331884291 	0.0017455945 	0.0028978081 	0.0028978185 	0.0028978208
	10.1582407279 	0.0013515577 	0.0022508348 	0.0022508422 	0.0022508444
	10.1832930268 	0.0010288773 	0.0017259084 	0.0017259130 	0.0017259154
	10.2083453256 	0.0007700704 	0.0013111137 	0.0013111157 	0.0013111184
	10.2333976244 	0.0005666763 	0.0009934311 	0.0009934305 	0.0009934338
	10.2584499232 	0.0004099939 	0.0007598864 	0.0007598829 	0.0007598872
	10.2835022220 	0.0002916471 	0.0005984254 	0.0005984189 	0.0005984245
	10.3085545208 	0.0002039744 	0.0004984904 	0.0004984804 	0.0004984877
	10.3336068197 	0.0001402593 	0.0004513074 	0.0004512933 	0.0004513026
	10.3586591185 	0.0000948255 	0.0004499161 	0.0004498971 	0.0004499088
	10.3837114173 	0.0000630313 	0.0004889892 	0.0004889644 	0.0004889790
	10.4087637161 	0.0000411932 	0.0005644927 	0.0005644613 	0.0005644791
	10.4338160149 	0.0000264687 	0.0006732420 	0.0006732029 	0.0006732243
	10.4588683138 	0.0000167216 	0.0008124075 	0.0008123599 	0.0008123850
	10.4839206126 	0.0000103863 	0.0009790226 	0.0009789656 	0.0009789946
	10.5089729114 	0.0000063428 	0.0011695409 	0.0011694740 	0.0011695066
	10.5340252102 	0.0000038084 	0.0013794896 	0.0013794123 	0.0013794484
	10.5590775090 	0.0000022482 	0.0016032538 	0.0016031662 	0.0016032051
	10.5841298078 	0.0000013049 	0.0018340207 	0.0018339231 	0.0018339642
	10.6091821067 	0.0000007446 	0.0020638971 	0.0020637903 	0.0020638327
	10.6342344055 	0.0000004178 	0.0022841967 	0.0022840819 	0.0022841244
	10.6592867043 	0.0000002305 	0.0024858766 	0.0024857554 	0.0024857969
	10.6843390031 	0.0000001250 	0.0026600835 	0.0026599578 	0.0026599971
	10.7093913019 	0.0000000667 	0.0027987553 	0.0027986271 	0.0027986632
	10.7344436007 	0.0000000349 	0.0028952132 	0.0028950850 	0.0028951168
	10.7594958996 	0.0000000180 	0.0029446802 	0.0029445542 	0.0029445809
	10.7845481984 	0.0000000091 	0.0029446631 	0.0029445415 	0.0029445626
	10.8096004972 	0.0000000045 	0.0028951559 	0.0028950408 	0.0028950560
	10.8346527960 	0.0000000022 	0.0027986375 	0.0027985304 	0.0027985398
	10.8597050948 	0.0000000011 	0.0026598639 	0.0026597662 	0.0026597699
	10.8847573937 	0.0000000005 	0.0024854792 	0.0024853916 	0.0024853903
	10.9098096925 	0.0000000002 	0.0022834879 	0.0022834108 	0.0022834053
	10.9348619913 	0.0000000001 	0.0020626481 	0.0020625815 	0.0020625727
	10.9599142901 	0.0000000000 	0.0018318478 	0.0018317914 	0.0018317800
	10.9849665889 	0.0000000000 	0.0015995265 	0.0015994797 	0.0015994667
	11.0100188877 	0.0000000000 	0.0013731921 	0.0013731540 	0.0013731402
	11.0350711866 	0.0000000000 	0.0011590681 	0.0011590377 	0.0011590239
	11.0601234854 	0.0000000000 	0.0009618878 	0.0009618640 	0.0009618507
	11.0851757842 	0.0000000000 	0.0007848338 	0.0007848156 	0.0007848032
	11.1102280830 	0.0000000000 	0.0006296059 	0.0006295922 	0.0006295811
	11.1352803818 	0.0000000000 	0.0004965897 	0.0004965796 	0.0004965699
	11.1603326806 	0.0000000000 	0.0003850919 	0.0003850847 	0.0003850764
	11.1853849795 	0.0000000000 	0.0002936086 	0.0002936036 	0.0002935967
	11.2104372783 	0.0000000000 	0.0002200955 	0.0002200920 	0.0002200865
	11.2354895771 	0.0000000001 	0.0001622151 	0.0001622128 	0.0001622084
	11.2605418759 	0.0000000001 	0.0001175464 	0.0001175449 	0.0001175415
	11.2855941747 	0.0000000002 	0.0000837463 	0.0000837454 	0.0000837428
	11.3106464736 	0.0000000005 	0.0000586626 	0.0000586620 	0.0000586601
	11.3356987724 	0.0000000010 	0.0000404016 	0.0000404012 	0.0000403998
	11.3607510712 	0.0000000019 	0.0000273580 	0.0000273578 	0.0000273568
	11.3858033700 	0.0000000037 	0.0000182154 	0.0000182153 	0.0000182146
	11.4108556688 	0.0000000071 	0.0000119268 	0.0000119268 	0.0000119263
	11.4359079676 	0.0000000134 	0.0000076828 	0.0000076828 	0.0000076824
	11.4609602665 	0.0000000246 	0.0000048745 	0.0000048745 	0.0000048743
	11.4860125653 	0.0000000446 	0.0000030566 	0.0000030566 	0.0000030565
	11.5110648641 	0.0000000794 	0.0000019126 	0.0000019126 	0.0000019126
	11.5361171629 	0.0000001390 	0.0000012256 	0.0000012256 	0.0000012256
	11.5611694617 	0.0000002392 	0.0000008544 	0.0000008544 	0.0000008544
	11.5862217605 	0.0000004048 	0.0000007163 	0.0000007163 	0.0000007163
	11.6112740594 	0.0000006734 	0.0000007748 	0.0000007748 	0.0000007748
	11.6363263582 	0.0000011015 	0.0000010330 	0.0000010330 	0.0000010330
	11.6613786570 	0.0000017714 	0.0000015317 	0.0000015317 	0.0000015317
	11.6864309558 	0.0000028007 	0.0000023515 	0.0000023515 	0.0000023515
	11.7114832546 	0.0000043538 	0.0000036179 	0.0000036179 	0.0000036179
	11.7365355535 	0.0000066543 	0.0000055099 	0.0000055099 	0.0000055099
	11.7615878523 	0.0000099994 	0.0000082696 	0.0000082696 	0.0000082696
	11.7866401511 	0.0000147736 	0.0000122126 	0.0000122127 	0.0000122127
	11.8116924499 	0.0000214603 	0.0000177376 	0.0000177377 	0.0000177378
	11.8367447487 	0.0000306494 	0.0000253315 	0.0000253316 	0.0000253317
	11.8617970475 	0.0000430375 	0.0000355695 	0.0000355696 	0.0000355698
	11.8868493464 	0.0000594168 	0.0000491064 	0.0000491065 	0.0000491068
	11.9119016452 	0.0000806510 	0.0000666558 	0.0000666559 	0.0000666563
	11.9369539440 	0.0001076336 	0.0000889561 	0.0000889563 	0.0000889568
	11.9620062428 	0.0001412289 	0.0001167217 	0.0001167219 	0.0001167226
	11.9870585416 	0.0001821954 	0.0001505794 	0.0001505796 	0.0001505805
	12.0121108405 	0.0002310943 	0.0001909929 	0.0001909932 	0.0001909944
	12.0371631393 	0.0002881898 	0.0002381808 	0.0002381813 	0.0002381827
	12.0622154381 	0.0003533507 	0.0002920347 	0.0002920353 	0.0002920370
	12.0872677369 	0.0004259623 	0.0003520468 	0.0003520475 	0.0003520495
	12.1123200357 	0.0005048640 	0.0004172580 	0.0004172589 	0.0004172613
	12.1373723345 	0.0005883229 	0.0004862371 	0.0004862380 	0.0004862409
	12.1624246334 	0.0006740553 	0.0005570976 	0.0005570987 	0.0005571020
	12.1874769322 	0.0007593013 	0.0006275609 	0.0006275622 	0.0006275659
	12.2125292310 	0.0008409543 	0.0006950639 	0.0006950652 	0.0006950693
	12.2375815298 	0.0009157389 	0.0007569069 	0.0007569084 	0.0007569128
	12.2626338286 	0.0009804249 	0.0008104338 	0.0008104354 	0.0008104401
	12.2876861274 	0.0010320593 	0.0008532271 	0.0008532287 	0.0008532338
	12.3127384263 	0.0010681937 	0.0008833024 	0.0008833041 	0.0008833093
	12.3377907251 	0.0010870847 	0.0008992842 	0.0008992859 	0.0008992912
	12.3628430239 	0.0010878461 	0.0009005461 	0.0009005478 	0.0009005531
	12.3878953227 	0.0010705378 	0.0008873069 	0.0008873087 	0.0008873138
	12.4129476215 	0.0010361832 	0.0008606772 	0.0008606789 	0.0008606839
	12.4379999204 	0.0009867170 	0.0008226606 	0.0008226623 	0.0008226670
	12.4630522192 	0.0009248729 	0.0007761226 	0.0007761243 	0.0007761285
	12.4881045180 	0.0008540293 	0.0007247428 	0.0007247445 	0.0007247482
	12.5131568168 	0.0007780353 	0.0006729731 	0.0006729748 	0.0006729779
	12.5382091156 	0.0007010410 	0.0006260208 	0.0006260226 	0.0006260249
	12.5632614144 	0.0006273528 	0.0005898716 	0.0005898736 	0.0005898750
	12.5883137133 	0.0005613297 	0.0005713593 	0.0005713616 	0.0005713620
	12.6133660121 	0.0005073277 	0.0005782742 	0.0005782769 	0.0005782760
	12.6384183109 	0.0004696880 	0.0006194883 	0.0006194917 	0.0006194892
	12.6634706097 	0.0004527567 	0.0007050606 	0.0007050649 	0.0007050605
	12.6885229085 	0.0004609138 	0.0008462706 	0.0008462760 	0.0008462693
	12.7135752073 	0.0004985826 	0.0010555200 	0.0010555267 	0.0010555172
	12.7386275062 	0.0005701898 	0.0013460416 	0.0013460497 	0.0013460369
	12.7636798050 	0.0006800489 	0.0017313615 	0.0017313713 	0.0017313547
	12.7887321038 	0.0008321464 	0.0022244821 	0.0022244936 	0.0022244726
	12.8137844026 	0.0010298240 	0.0028367816 	0.0028367947 	0.0028367689
	12.8388367014 	0.0012753661 	0.0035766721 	0.0035766866 	0.0035766555
	12.8638890003 	0.0015695200 	0.0044481016 	0.0044481170 	0.0044480803
	12.8889412991 	0.0019109957 	0.0054490367 	0.0054490523 	0.0054490101
	12.9139935979 	0.0022960069 	0.0065701012 	0.0065701162 	0.0065700687
	12.9390458967 	0.0027179240 	0.0077935715 	0.0077935847 	0.0077935323
	12.9640981955 	0.0031671114 	0.0090929287 	0.0090929387 	0.0090928824
	12.9891504943 	0.0036310086 	0.0104331401 	0.0104331454 	0.0104330863
	13.0142027932 	0.0040944976 	0.0117717803 	0.0117717792 	0.0117717189
	13.0392550920 	0.0045405640 	0.0130610182 	0.0130610091 	0.0130609493
	13.0643073908 	0.0049512260 	0.0142503898 	0.0142503711 	0.0142503137
	13.0893596896 	0.0053086667 	0.0152901686 	0.0152901393 	0.0152900862
	13.1144119884 	0.0055964704 	0.0161350507 	0.0161350097 	0.0161349630
	13.1394642872 	0.0058008439 	0.0167478016 	0.0167477486 	0.0167477100
	13.1645165861 	0.0059116932 	0.0171024886 	0.0171024236 	0.0171023947
	13.1895688849 	0.0059234371 	0.0171869418 	0.0171868652 	0.0171868473
	13.2146211837 	0.0058354643 	0.0170041580 	0.0170040709 	0.0170040649
	13.2396734825 	0.0056521797 	0.0165724708 	0.0165723745 	0.0165723810
	13.2647257813 	0.0053826351 	0.0159244409 	0.0159243371 	0.0159243564
	13.2897780802 	0.0050397858 	0.0151045613 	0.0151044519 	0.0151044838
	13.3148303790 	0.0046394577 	0.0141659934 	0.0141658804 	0.0141659246
	13.3398826778 	0.0041991393 	0.0131666468 	0.0131665322 	0.0131665881
	13.3649349766 	0.0037367257 	0.0121649660 	0.0121648519 	0.0121649187
	13.3899872754 	0.0032693393 	0.0112157990 	0.0112156871 	0.0112157638
	13.4150395742 	0.0028123320 	0.0103666900 	0.0103665823 	0.0103666677
	13.4400918731 	0.0023785430 	0.0096548781 	0.0096547763 	0.0096548688
	13.4651441719 	0.0019778495 	0.0091051988 	0.0091051047 	0.0091052026
	13.4901964707 	0.0016170121 	0.0087289981 	0.0087289136 	0.0087290146
	13.5152487695 	0.0012997838 	0.0085240803 	0.0085240074 	0.0085241090
	13.5403010683 	0.0010272278 	0.0084756325 	0.0084755730 	0.0084756723
	13.5653533671 	0.0007981788 	0.0085580051 	0.0085579611 	0.0085580549
	13.5904056660 	0.0006097776 	0.0087371768 	0.0087371503 	0.0087372352
	13.6154579648 	0.0004580158 	0.0089736950 	0.0089736877 	0.0089737605
	13.6405102636 	0.0003382419 	0.0092258602 	0.0092258736 	0.0092259309
	13.6655625624 	0.0002455908 	0.0094529111 	0.0094529460 	0.0094529853
	13.6906148612 	0.0001753213 	0.0096179742 	0.0096180309 	0.0096180500
	13.7156671601 	0.0001230538 	0.0096905604 	0.0096906383 	0.0096906360
	13.7407194589 	0.0000849168 	0.0096484315 	0.0096485292 	0.0096485052
	13.7657717577 	0.0000576145 	0.0094787128 	0.0094788282 	0.0094787832
	13.7908240565 	0.0000384336 	0.0091781975 	0.0091783276 	0.0091782633
	13.8158763553 	0.0000252081 	0.0087528602 	0.0087530015 	0.0087529205
	13.8409286541 	0.0000162572 	0.0082166742 	0.0082168227 	0.0082167283
	13.8659809530 	0.0000103109 	0.0075898848 	0.0075900366 	0.0075899324
	13.8910332518 	0.0000064347 	0.0068969400 	0.0068970912 	0.0068969811
	13.9160855506 	0.0000039575 	0.0061642958 	0.0061644426 	0.0061643305
	13.9411378494 	0.0000024101 	0.0054183096 	0.0054184488 	0.0054183382
	13.9661901482 	0.0000014738 	0.0046834049 	0.0046835341 	0.0046834281
	13.9912424470 	0.0000009397 	0.0039806422 	0.0039807595 	0.0039806606
	14.0162947459 	0.0000006797 	0.0033267703 	0.0033268745 	0.0033267846
	14.0413470447 	0.0000006251 	0.0027337741 	0.0027338648 	0.0027337849
	14.0663993435 	0.0000007539 	0.0022088794 	0.0022089568 	0.0022088873
	14.0914516423 	0.0000010852 	0.0017549348 	0.0017549996 	0.0017549405
	14.1165039411 	0.0000016787 	0.0013710654 	0.0013711185 	0.0013710694
	14.1415562400 	0.0000026394 	0.0010534848 	0.0010535276 	0.0010534875
	14.1666085388 	0.0000041273 	0.0007963603 	0.0007963941 	0.0007963621
	14.1916608376 	0.0000063699 	0.0005926410 	0.0005926672 	0.0005926422
	14.2167131364 	0.0000096779 	0.0004347857 	0.0004348055 	0.0004347863
	14.2417654352 	0.0000144629 	0.0003153496 	0.0003153643 	0.0003153499
	14.2668177340 	0.0000212537 	0.0002274179 	0.0002274285 	0.0002274180
	14.2918700329 	0.0000307102 	0.0001648866 	0.0001648938 	0.0001648865
	14.3169223317 	0.0000436302 	0.0001226110 	0.0001226153 	0.0001226106
	14.3419746305 	0.0000609470 	0.0000964458 	0.0000964475 	0.0000964451
	14.3670269293 	0.0000837109 	0.0000832050 	0.0000832037 	0.0000832037
	14.3920792281 	0.0001130545 	0.0000805678 	0.0000805626 	0.0000805656
	14.4171315269 	0.0001501355 	0.0000869558 	0.0000869449 	0.0000869520
	14.4421838258 	0.0001960601 	0.0001013997 	0.0001013798 	0.0001013932
	14.4672361246 	0.0002517873 	0.0001234132 	0.0001233789 	0.0001234022
	14.4922884234 	0.0003180211 	0.0001528875 	0.0001528301 	0.0001528692
	14.5173407222 	0.0003951026 	0.0001900181 	0.0001899240 	0.0001899882
	14.5423930210 	0.0004829148 	0.0002352750 	0.0002351235 	0.0002352267
	14.5674453199 	0.0005808196 	0.0002894269 	0.0002891869 	0.0002893502
	14.5924976187 	0.0006876451 	0.0003536256 	0.0003532516 	0.0003535055
	14.6175499175 	0.0008017418 	0.0004295572 	0.0004289838 	0.0004293722
	14.6426022163 	0.0009211218 	0.0005196577 	0.0005187924 	0.0005193770
